mission_name,cat,region,role,dip_name,suffix,id,url
Chinese Consulate-General in Iquique (Chile),consulate,Latin America,Consul General,Fu Xinrong,NA,t20110810_630368,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2505_665374/201108/t20110810_630368.html
Chinese Embassy in Maldives,embassy,Asia,Ambassador,Zhang Lizhong,NA,t20111020_629921,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/201110/t20111020_629921.html
Chinese Consulate-General in Montreal (Canada),consulate,North America and Oceania,Consul General,Chen Xueming,NA,t20120121_630341,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2504_665372/201201/t20120121_630341.html
Chinese Consulate-General in Christchurch (New Zealand),consulate,North America and Oceania,Consul General,Wang Zhijian,NA,t20120217_630335,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2504_665372/201202/t20120217_630335.html
Chinese Consulate-General in Medan (Indonesia),consulate,Asia,Consul General,Qiu Weiwei,NA,t20120412_630250,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/201204/t20120412_630250.html
Chinese Consulate-General in Jeju (R. O. K.),consulate,Asia,Consul General,Wang Luxin,NA,t20120816_630219,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/201208/t20120816_630219.html
Mission of the People's Republic of China to ASEAN,international_organizations,global,Ambassador,H.E. Mr. Deng Xijun,NA,t20130426_600641,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376/201304/t20130426_600641.html
Chinese Consulate-General in Zamyn-Uud(Mongolia),consulate,Asia,Consul General,Li Yanjun,NA,t20131014_630231,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/201310/t20131014_630231.html
Chinese Consulate-General in Luang Prabang(Lao),consulate,Asia,Consul General,Li Zhigong,NA,t20131202_630237,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/201312/t20131202_630237.html
Chinese Consulate-General in Willemstad (Dutch Caribbean),consulate,Europe,Consul General,Li Yigang,NA,t20140109_630333,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/201401/t20140109_630333.html
Chinese Consulate-General in Khon Kaen (Thailand),consulate,Asia,Consul-General,Liao Junyun,NA,t20140630_630211,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/201406/t20140630_630211.html
Chinese Embassy in Somalia,embassy,Africa,Ambassador,Qin Jian,NA,t20141016_629994,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/201410/t20141016_629994.html
Chinese Consulate-General in Erbil (Iraq),consulate,Western Asia and North Africa,Consul General,Ni Ruchi,NA,t20141124_630268,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2500_665364/201411/t20141124_630268.html
Chinese Consulate-General in Denpasar (Indonesia),consulate,Asia,ConsulGeneral,Zhu Xinglong,NA,t20141212_630252,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/201412/t20141212_630252.html
Mission of the People's Republic of China to the African Union,international_organizations,global,Ambassador,Liu Yuxi,NA,t20150511_600643,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376/201505/t20150511_600643.html
Chinese Consulate-General in Recife (Brazil),consulate,Latin America,Consul General,Yan Yuqing,NA,t20150810_630373,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2505_665374/201508/t20150810_630373.html
Chinese Consulate-General in Belfast (United Kingdom),consulate,Europe,Consul General,Wang Shuying,NA,t20150824_630304,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/201508/t20150824_630304.html
Chinese Consulate-General in Osh (Kyrghyz),consulate,Europe and Central Asia,Consul General,Cui Shaochun,NA,t20151022_630296,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2502_665368/201510/t20151022_630296.html
Chinese Consulate-General in Adelaide (Australia),consulate,North America and Oceania,Consul General,He Lanjing,NA,t20170503_630352,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2504_665372/201705/t20170503_630352.html
Chinese Consulate-General in Penang (Malaysia),consulate,Asia,Consul General,Lu Shiwei,NA,t20170504_630232,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/201705/t20170504_630232.html
Chinese Consulate-General in Kota Kinabalu (Malaysia),consulate,Asia,Consul General,Liang Caide,NA,t20170504_630236,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/201705/t20170504_630236.html
Chinese Consulate-General in Izmir (Turkey),consulate,Western Asia and North Africa,Consul General,Liu Zengxian,NA,t20170504_630263,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2500_665364/201705/t20170504_630263.html
Chinese Consulate-General in Dusseldorf(Germany),consulate,Europe,Consul General,Feng Haiyang,NA,t20170505_630323,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/201705/t20170505_630323.html
Chinese Consulate-General in Lahore (Pakistan),consulate,Asia,Consul General,Long Dingbin,NA,t20170509_630227,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/201705/t20170509_630227.html
Chinese Consulate-General in Bata (Equatorial Guinea),consulate,Africa,Consul General,Xu Zhuangsheng,NA,t20170509_630280,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2501_665366/201705/t20170509_630280.html
