user_id,name,username,created_at,description,entities,location,profile_image_url,protected,followers_count,following_count,tweet_count,listed_count,like_count,url,verified,withheld,deleted,date_scraped
1969240051,Rusia en Colombia,RusiaColombia,2013-10-18T16:50:14Z,🇷🇺🤝🇨🇴La cuenta oficial de la Embajada de Rusia en Colombia,,"Bogotá, Cra.4 No.75-02",https://pbs.twimg.com/profile_images/1773005837008576512/I1GBkE9k_normal.jpg,,15223,92,6504,112,3726,https://t.co/NSdqJg3D57,,NA,FALSE,2024-04-15
2905424987,AmbRussieRCongo,Russie_au_Congo,2014-12-04T18:50:17Z,Compte Twitter officiel de l’Ambassade de Russie en République du Congo • Официальный Твиттер-аккаунт Посольства России в Республике Конго,,Brazzaville,https://pbs.twimg.com/profile_images/1660218957150711808/VG44_TVz_normal.jpg,,5608,374,2629,77,516,https://t.co/FIuv74qF8D,,NA,FALSE,2024-04-15
1024596885661802496,Ambassade de Russie 🇷🇺 en RD Congo 🇨🇩,ambrus_drc,2018-08-01T10:05:08Z,Bienvenue à la page officielle de l’Ambassade de la Fédération de Russie en République Démocratique du Congo 🇷🇺🫱🏻‍🫲🏾🇨🇩,,Democratic Republic of Congo,https://pbs.twimg.com/profile_images/1771278410079236096/NjgDOEt__normal.jpg,,13556,229,1264,68,223,https://t.co/SGNHaIyCOQ,,NA,FALSE,2024-04-15
2786944454,Embajada de Rusia en Costa Rica,recostarica,2014-09-02T23:44:22Z,Twitter oficial de la Embajada de la Federación de Rusia en la Republica de Costa Rica. Посольство России в Коста-Рике.,,"San Jose, Costa Rica",https://pbs.twimg.com/profile_images/1072942072884330498/p-igLkY__normal.jpg,,2995,587,1776,57,740,https://t.co/GYdmZIhvVm,,NA,FALSE,2024-04-15
2176393896,Russie en RCI,AmbRusRCI,2013-11-05T16:23:26Z,Посольство России в Кот-д'Ивуаре /          Ambassade de la Fédération de Russie en République de Côte d'Ivoire,,"Abidjan, Côte d'Ivoire",https://pbs.twimg.com/profile_images/1655695013060198401/GsNoUQpq_normal.jpg,,5309,137,938,66,83,https://t.co/3lujynbvyi,,NA,FALSE,2024-04-15
2870280371,VeleposlanstvoRusije,RusEmbCro,2014-11-10T08:36:16Z,https://t.co/bdiHREUM6p,,Zagreb,https://pbs.twimg.com/profile_images/1199361225643220993/njQk8Mt7_normal.jpg,,1989,340,5237,71,3519,https://t.co/KlOkIjAtGG,,NA,FALSE,2024-04-15
1074800809,Embajada de Rusia en Cuba,EmbRusCuba,2013-01-09T20:21:35Z,Посольство России на Кубе // Fortaleciendo las relaciones ruso-cubanas 🇷🇺🤝🇨🇺 ➡️ Telegram: https://t.co/yyq5g6hhiH,,Гавана / La Habana,https://pbs.twimg.com/profile_images/1773492081433931778/BFdMZ2P-_normal.jpg,,10356,894,10587,130,4027,https://t.co/lv44Gy7IOj,,NA,FALSE,2024-04-15
2443794655,RusEmbCyprus,RusEmbCyprus,2014-04-14T12:05:58Z,Официальный twitter-аккаунт Посольства Российской Федерации в Республике Кипр / Official twitter account of the Russian Embassy in the Republic of Cyprus,,Nicosia,https://pbs.twimg.com/profile_images/1778870626876260353/C6s-dQpF_normal.jpg,,2356,350,11103,95,368,https://t.co/NmscQs2DLz,,NA,FALSE,2024-04-15
719847578,.,CG_Russia_Brno,2012-07-27T09:44:49Z,"Генеральное консульство России в Брно, Чешская Республика / Generální konzulát Ruska v Brně, Česká republika",,NA,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,2280,0,2453,70,27,https://t.co/j5o5ci7mQG,,NA,FALSE,2024-04-15
1179350539,Посольство России в Чехии,AmbRusCz,2013-02-14T14:31:56Z,Пресс-служба Посольства Российской Федерации в Чешской Республике / Tisková služba Velvyslanectví Ruské federace v České republice,,Прага,https://pbs.twimg.com/profile_images/1197552936584404993/EoXhUzDa_normal.jpg,,4344,1030,11717,117,930,https://t.co/8pmrQdaFJn,,NA,FALSE,2024-04-15
741723648181075968,Генеральное консульство России в Карловых Варах,GK_KARL_VARY,2016-06-11T20:07:53Z,Генеральное консульство России в Карловых Варах (Чехия) / Generální konzulát Ruska v Karlovych Varech (Česká republika),,"Karlovy Vary, Česká republika",https://pbs.twimg.com/profile_images/1197644931533361154/pEFa4XQf_normal.jpg,,767,137,449,35,297,https://t.co/mnqKsCo5RY,,NA,FALSE,2024-04-15
343218293,Ruský dům v Praze,kultura_rsvk,2011-07-27T07:02:29Z,Официальный twitter-аккаунт Русского дома в Праге https://t.co/GJhEW71fjl и https://t.co/2Gvr7B3V9h,,Прага,https://pbs.twimg.com/profile_images/1488167804771749889/QvNTXBw0_normal.jpg,,839,30,5806,40,740,https://t.co/VakMEdAywP,,NA,FALSE,2024-04-15
219649914,"Embassy of Russia, DK",RusEmbDK,2010-11-25T13:30:11Z,Официальный твиттер Посольства России в Дании / Official twitter of the Embassy of Russia in Denmark 🇷🇺 🇩🇰 https://t.co/2IZUJPoPdX,,"Kristianiagade 5, Copenhagen",https://pbs.twimg.com/profile_images/1659219787397099520/J3kABKS5_normal.jpg,,5826,604,18746,155,2224,https://t.co/Z26EGvO2jj,,NA,FALSE,2024-04-15
763462638143672321,Ambassade de Russie en République de Djibouti,AmbRus_Djibouti,2016-08-10T19:50:52Z,,,Djibouti,https://pbs.twimg.com/profile_images/1497623721955184655/ezw_vQ2R_normal.jpg,,253,15,96,4,0,https://t.co/hxxE7SG4SL,,NA,FALSE,2024-04-15
1209375380,Embajada de Rusia en Ecuador,RusEmb_Ecuador,2013-02-22T17:54:27Z,Официальный twitter-аккаунт Посольства России в Эквадоре Cuenta de Twitter oficial de la Embajada de Rusia en Ecuador.🇷🇺🇪🇨Наш Telegram:https://t.co/DAwQYVS5SJ,,"Кито, Эквадор ",https://pbs.twimg.com/profile_images/1779551502119411713/vvfbHLMD_normal.jpg,,9349,161,3621,96,2230,https://t.co/Yftz4UopD9,,NA,FALSE,2024-04-15
1217887332,RussianEmbassy EGYPT 🇷🇺,Rusembegypt,2013-02-25T10:28:34Z,Официальный twitter-аккаунт Посольства России в Египте صفحة تويتر الرسمية لسفارة روسيا بالقاهرة Official account of the Russian Embassy in Cairo,,"Каир, Египет",https://pbs.twimg.com/profile_images/1662726537311862786/hskBmkjv_normal.jpg,,40458,624,8077,270,3411,https://t.co/YOodjWyncJ,,NA,FALSE,2024-04-15
1380079903434027008,Генконсульство России в Хургаде,GKHurghada,2021-04-08T08:48:40Z,TG: https://t.co/hzMDfey2Ss,,Hurghada,https://pbs.twimg.com/profile_images/1585314318148591616/VJpg1D45_normal.jpg,,622,149,119,16,1,https://t.co/2qklAAulDk,,NA,FALSE,2024-04-15
